participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Monday,SumTotalEventInteractions,TodayPageGoal-Monday,FZFolderUse,TodayPageGoal-Saturday,SumTotalFZNoteInteractions,TodayPageGoal-Tuesday,TodayPageGoal-Sunday,TodayPageUse-Thursday,TodayPageGoal-Friday,LTGFolderUse,TodayPageUse-Tuesday,FZGoal,TodayPageGoal-Wednesday,TodayPageUse-Friday,TodayPageUse-Wednesday,TodayPageUse-Sunday,TodayPageGoal-Thursday,TodayPageUse-Saturday,LTGGoal,SumTotalLTGNoteInteractions
128,0.2857142857142857,0.2857142857142857,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,2,0,0.0,0,0,0.0
129,0.14285714285714285,0.14285714285714285,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0
130,0.14285714285714285,0.42857142857142855,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,1,0,0.0,0,0,0.0
131,0.14285714285714285,0.14285714285714285,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0
132,0.14285714285714285,0.42857142857142855,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0
133,0.2857142857142857,0.42857142857142855,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0,0.0,0,0,0.0
134,0.2857142857142857,0.2857142857142857,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0
137,0.14285714285714285,0.14285714285714285,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,1,0,0.0,0,0,0.0
139,0.42857142857142855,0.8571428571428571,0.75,0,3.4285714285714284,0.0,0.8571428571428571,0.0,0.42857142857142855,0.3333333333333333,0.0,0,7.0,0.8571428571428571,1,6,0.6666666666666666,18,8,0,0.0,0,6,0.42857142857142855
140,0.14285714285714285,0.14285714285714285,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0
48,0.0,0.0,0.0,0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0,0.0,0.0,0,0,0.0,0,0,4,0.0,0,0,0.0
23,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.14285714285714285
